id,url,createdTime,Evidence ID,Status,Source Type,Grade,Source URL,Passage,Notes,Source,Structure,Claim,Variant,Evidence
3c60b963-e600-81a3-847b-d9a143ea6258,https://app.notion.com/3c60b963e60081a3847bd9a143ea6258,2026-08-24 05:25:18Z,E-JOS-W5.188,Extracted,Primary Text,C,https://lexundria.com/j_bj/5.188/wst,5.188,Potential rhetorical/exaggerated dimension; do not hard-lock without archaeology.,"Josephus, Jewish War",Temple platform / retaining works,Lowest part said to rise 300 cubits and in places more; valleys were filled to level the platform; very large stones used.,Josephus monumental topography rhetoric,Josephus War 5.188 · Platform foundation and fill
3c60b963-e600-81a3-8da7-c81ef15d9c63,https://app.notion.com/3c60b963e60081a38da7c81ef15d9c63,2026-08-24 05:25:18Z,E-MID-4.6,Cross-checked,Primary Text,B,https://www.sefaria.org/English_Explanation_of_Mishnah_Middot.4.6.1,4:6,Critical vertical section source.,Mishnah Middot,Hekhal complex,"Hekhal complex described as 100×100 with height 100 cubits, with explicit vertical decomposition including 6-cubit foundation and two 40-cubit interior levels.",R. Judah parapet/spike variant,Middot 4:6 · Hekhal total height
3c60b963-e600-81d6-86bd-ddc82992a485,https://app.notion.com/3c60b963e60081d686bdddc82992a485,2026-08-24 05:25:18Z,E-JOS-W5.CLOISTER,Extracted,Primary Text,C,https://penelope.uchicago.edu/josephus/war-5.html,5.5.2,"Use as textual scale/material/topology control. Does NOT determine column diameter, intercolumniation, exact bay rhythm, capital/entablature profile, roof pitch/truss/parapet/drainage, perimeter endpoints, or SITE/world placement.","Josephus, Jewish War",Outer court cloisters,"Outer-court cloisters are double; their pillars are 25 cubits high, each pillar is one entire stone of white marble, the roofs are adorned with carved cedar, and the outer cloisters are 30 cubits in breadth; the overall circuit is described as six furlongs including Antonia.",Josephus outer court description,Josephus War 5.5.2 · Outer cloisters
3c60b963-e600-81d8-adc4-ff0eb75baa65,https://app.notion.com/3c60b963e60081d8adc4ff0eb75baa65,2026-08-24 05:25:18Z,E-MID-4.7,Cross-checked,Primary Text,B,https://www.sefaria.org/English_Explanation_of_Mishnah_Middot.4.7,4:7,Primary basis for vector floor plan decomposition.,Mishnah Middot,Hekhal / Holy of Holies / side cells / Porch,"E-W total 100 cubits with component thicknesses; N-S body 70 cubits; Porch projects 15 cubits north and south, making front width 100.",Middot plan,Middot 4:7 · Hekhal plan decomposition
3c60b963-e600-81e0-81e1-ea20fa9fb317,https://app.notion.com/3c60b963e60081e081e1ea20fa9fb317,2026-08-24 05:25:18Z,E-JOS-A15.391,Conflict,Primary Text,B,https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0146%3Abook%3D15%3Awhiston+chapter%3D11,15.391,Whiston note warns against reading the 20 cubits as entire foundation depth.,"Josephus, Jewish Antiquities",Temple / masonry,Temple length 100 cubits; construction stones described as 25 cubits long × 8 high × about 12 broad; text also discusses an additional 20 cubits in height/foundation issue.,Josephus sanctuary description,Josephus Ant. 15.391 · Temple and ashlar dimensions
3c60b963-e600-81f8-b566-ebf7d334f9d3,https://app.notion.com/3c60b963e60081f8b566ebf7d334f9d3,2026-08-24 05:25:18Z,E-JOS-W5.201,Conflict,Primary Text,B,https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0148%3Abook%3D5%3Asection%3D201,5.201,Gate dimensions differ from Middot standard 20×10 doorway rule; preserve by gate class/variant.,"Josephus, Jewish War",Inner court gates,Regular gate doors 30 cubits high × 15 broad; gate interior spaces 30; flanking tower-like rooms above 40 high; supporting pillars circumference 12; eastern Corinthian gate 50 high with doors 40.,Josephus gate system,Josephus War 5.201 · Gates
3c60b963-e600-81fa-8673-d8dc0989db80,https://app.notion.com/3c60b963e60081fa8673d8dc0989db80,2026-08-24 05:25:18Z,E-MID-5.2,Cross-checked,Primary Text,B,https://www.sefaria.org/English_Explanation_of_Mishnah_Middot.5.1.3,5:2,Some sub-allocation depends on later commentators; retain 25 remainder separately.,Mishnah Middot,Inner court north-south layout,N-S total 135 cubits; ramp+altar occupy 62 floor cubits; altar to rings 8; rings 24; rings to tables 4; tables to dwarf pillars 4; pillars to wall 8; remainder 25.,Interpretive allocation of remainder,Middot 5:2 · N-S court sequence
3c60b963-e600-81fa-a927-debb290f4639,https://app.notion.com/3c60b963e60081faa927debb290f4639,2026-08-24 05:25:18Z,E-MID-3.7,Cross-checked,Primary Text,B,https://www.sefaria.org/Mishnah_Middot.3.6?with=Mishnah,3:7,Useful for front elevation lock.,Mishnah Middot,Ulam / Porch entrance,"Porch doorway 40 cubits high × 20 broad; five wooden beams above, uppermost 30 cubits long.",Middot Ulam façade,Middot 3:7 · Porch doorway
3c60b963-e600-818a-a0de-d814477407a1,https://app.notion.com/3c60b963e600818aa0ded814477407a1,2026-08-24 06:32:29Z,E-MID-HULDAH-CIRC,Cross-checked,Primary Text,A,https://www.sefaria.org/Mishnah_Middot.1.3-2.2,1:3; 2:2,텍스트상의 Huldah 두 문과 현재 Double/Triple Gate의 1:1 동일시는 별도 mapping 문제.,Mishnah Middot,Huldah gates / Temple Mount circulation,"남쪽에 두 Huldah gates가 있으며 출입에 사용되고, 성전산에 들어온 사람은 정상적으로 오른쪽으로 돌아 왼쪽으로 나감.",TEXT_CIRCULATION,Middot 1:3 + 2:2 · South gates and circulation
3c60b963-e600-81fe-83b8-d523e0e41455,https://app.notion.com/3c60b963e60081fe83b8d523e0e41455,2026-08-24 06:32:29Z,E-ARCH-SOUTH-ROAD-2024,Cross-checked,Scholarly Reconstruction,B,https://www.jstor.org/stable/jj.31872240.9,The Southern Wall of the Jerusalem Temple Mount and the Road System Leading to Its Gates,현대 종합해석. 개별 geometry는 원 발굴/측량 도면과 재검증 필요.,"Baruch, Rom, Zilberstein, Machline & Reich",South road / plazas / Double–Triple Gate approach,남벽 전 구간과 Double/Triple Gate로 향하는 도로·광장 네트워크를 헤롯 성전산 건설의 통합 교통 시스템으로 재구성하며 대규모 순례자 흐름 관리 기능을 강조함.,SOUTH_ROADS_2024,2024 · Southern Wall road system synthesis
3c60b963-e600-8102-8707-c20f3c2e9004,https://app.notion.com/3c60b963e60081028707c20f3c2e9004,2026-08-24 06:32:29Z,E-SURVEY-WARREN-1884-SOUTH,Extracted,Archaeology,B,https://www.archives.openjerusalem.org/index.php/four-printed-plans-elevations-sections-etc-showing-the-results-of-the-excavations-at-jerusalem-1867-1870-executed-for-the-committee-of-the-palestine-exploration-fund-by-captain-charles-warren-royal-engineers,"Atlas plates 25–26, 39; Survey of Western Palestine, Double/Triple Gate passages",중요 실측 기록이지만 현재 고고학과 동일 등급으로 잠그지 않음. Plate 원본 좌표·치수 재추출 후 승격.,Charles Warren / Palestine Exploration Fund,Double Gate / Triple Gate / southern substructures,"19세기 조사에서 Double Gate·Triple Gate의 지하 passage/tunnel, 남측 façade와 substructure가 실측·도면화됨.",HISTORICAL_SURVEY,Warren 1884 · Southern gates historical survey
3c60b963-e600-8102-a087-e207a8f285e7,https://app.notion.com/3c60b963e6008102a087e207a8f285e7,2026-08-24 06:32:29Z,E-ARCH-TRIPLE-2016,Cross-checked,Archaeology,A,https://publications.iaa.org.il/atiqot/vol85/iss1/9/,Abstract / Areas A–D,남쪽 순례 접근 및 계단 하부 구조의 핵심 물리 Evidence.,Yuval Baruch & Ronny Reich · ‘Atiqot 85,Triple Gate approach / monumental stair support / miqveh,"Triple Gate 인근에서 대형 미크베와 monumental staircase를 지지한 세 개의 rock-cut vaulted rooms, 성토와 rock-cut surface가 확인됨.",PHYSICAL_TRIPLE_GATE,IAA 2016 · Triple Gate vicinity excavation
3c60b963-e600-81b1-8759-cc5641abd6c6,https://app.notion.com/3c60b963e60081b18759cc5641abd6c6,2026-08-24 06:32:29Z,E-ARCH-SOUTH-A9477-2026,Cross-checked,Archaeology,A,https://publications.iaa.org.il/ha-esi/vol138/iss1/3/,"Area B, lines 54–65",2026 최신 IAA 발굴. 현대 발굴 터널 자체의 길이·높이는 고대 구조 치수로 사용하지 않음.,"Baruch, Rom, Machline, Zilberstein et al. · HA-ESI 138",Southern retaining wall foundations / support cells / drainage,"남서 모서리에서 동쪽으로 약 32m 구간에 남벽 기초 6개 코스와 맞닿은 8개 직사각형 셀, 남벽과 평행한 W122, 성토 및 기초 암반 관계가 확인됨.",PHYSICAL_A9477,IAA 2026 · Southern Wall foundations A-9477
3c60b963-e600-814b-9fff-eaa860b069cb,https://app.notion.com/3c60b963e600814b9fffeaa860b069cb,2026-08-24 06:42:37Z,E-SURVEY-PEFQS-1880-DOUBLE,Extracted,Archaeology,B,https://biblicalstudies.org.uk/pdf/pefqs/1880_01_009.pdf,Double Gate description,19세기 관찰. 현존/후대 재건 요소가 섞였음을 원문도 지적하므로 Herodian 원형과 동일시 금지.,Palestine Exploration Fund Quarterly Statement 1880,Double Gate portal / vestibule / wall passage,"Double Gate는 두 입구, 총폭 42ft, 중앙 pier 6ft, 각 입구 18ft로 기록되며 lintel·relieving arch·cornice·supporting columns가 기술됨.",HISTORICAL_SURVEY_PEF1880,PEF 1880 · Double Gate architectural survey description
3c60b963-e600-81ec-b49c-eb50c49d7384,https://app.notion.com/3c60b963e60081ecb49ceb50c49d7384,2026-08-24 06:44:18Z,E-ARCH-TRIPLE-CHAMBERS-2019,Cross-checked,Archaeology,A,https://publications.iaa.org.il/atiqot/vol85/iss1/9/,Quarried chambers south of the Triple Gate,실측값은 발굴자들의 2019 요약에서 재확인. 2016 공식 원문 PDF 도판과 최종 좌표 재추출 전에는 individual chamber subdivision은 Candidate.,"Yuval Baruch & Ronny Reich, Ancient Jerusalem Revealed (2019), pp. 84–93; same excavation published in ‘Atiqot 85 (2016)",Triple Gate stair-support rock-cut chambers,"Triple Gate 남쪽 7.2–7.5m에 두 대형 암반실이 있으며, 두 실의 총 길이 약 14.3m, floor-level width 약 4.8m로 보고됨. 내부 partition과 연결 opening, 남쪽 추가 Chamber C가 존재.",PHYSICAL_TRIPLE_CHAMBERS,Baruch & Reich 2019 · Triple Gate rock-cut chamber dimensions
3c60b963-e600-8133-9770-c3483e0d57ef,https://app.notion.com/3c60b963e60081339770c3483e0d57ef,2026-08-24 07:12:52Z,E-MISH-TAMID-SERVICE,Cross-checked,Primary Text,A,https://www.sefaria.org/Mishnah_Tamid.2,2:3–5; 3:9; 6:1–2,Commentarial details such as exact wick replacement are not elevated to raw Mishnah status unless separately tagged.,Mishnah Tamid,Outer altar / Menorah / incense service,"Records altar wood arrangements and species restrictions/customs, coal supply for incense, Menorah service/location traditions and coals spread on inner incense altar.",DAILY_SERVICE,"Mishnah Tamid · Menorah, altar fires and incense service"
3c60b963-e600-814a-9432-e5f9561ab5e6,https://app.notion.com/3c60b963e600814a9432e5f9561ab5e6,2026-08-24 07:12:52Z,E-MISH-MEN-11_5_7,Cross-checked,Primary Text,A,https://www.sefaria.org/Mishnah_Menachot.11,11:5–7,Do not average vessel-cubit variants.,Mishnah Menachot,Showbread Table / loaves / supports / Ulam tables,"Preserves R. Judah/R. Meir table-size variants, loaf size, four golden supports, 28 half-hollow rods, two stacks of six loaves and Ulam marble/gold staging tables.",R_JUDAH / R_MEIR,Mishnah Menachot 11:5–7 · Showbread Table system
3c60b963-e600-818d-bfc3-ca7699507380,https://app.notion.com/3c60b963e600818dbfc3ca7699507380,2026-08-24 07:12:52Z,E-MISH-SHEK-8_5-PAROKHET,Cross-checked,Primary Text,A,https://www.sefaria.org/Mishnah_Shekalim.8.5,8:5,Textile-construction terminology has interpretive complexity; preserve raw numbers separately from weave reconstruction.,Mishnah Shekalim,Parokhet / Temple veil textile,"Parokhet tradition records one-handbreadth thickness, 72 composite cords/yarns, 24 threads per unit, four material/color components, and 40×20 cubit dimensions.",MISHNAH_PAROKHET,Mishnah Shekalim 8:5 · Parokhet manufacture tradition
3c60b963-e600-819d-80d9-c7d36498ca98,https://app.notion.com/3c60b963e600819d80d9c7d36498ca98,2026-08-24 07:12:52Z,E-MISH-YOMA-5_1_2,Cross-checked,Primary Text,A,https://www.sefaria.org/Mishnah_Yoma.5.1,5:1–2,R. Yose one-curtain dissent preserved as variant. Passage narrative still refers ritual path in traditional terms; AD30 scene guard uses explicit Ark-absence synthesis with Josephus.,Mishnah Yoma,Parokhet / Debir / Foundation Stone,Second-Temple account has two curtains one cubit apart with outer opening south and inner opening north; after Ark removal a Foundation Stone projected three fingerbreadths above floor.,YOMA_MAIN; R_YOSE_SINGLE_CURTAIN,Mishnah Yoma 5:1–2 · double curtains + Foundation Stone
3c60b963-e600-81ba-833a-ecfae61af7d0,https://app.notion.com/3c60b963e60081ba833aecfae61af7d0,2026-08-24 07:12:52Z,E-JOS-WAR7-SPOILS,Cross-checked,Primary Text,A,https://penelope.uchicago.edu/josephus/war-7.html,7.148,"Useful for form, not full exact dimensional reconstruction.","Flavius Josephus, Jewish War",Menorah / Showbread Table,"Triumphal spoils include golden table and golden candlestick; candlestick described with central shaft/basis, long side branches, trident-like visual arrangement and seven lamps.",JOSEPHUS_SPOILS,Josephus War 7.148 · captured menorah and golden table
3c60b963-e600-81e5-8679-cf56a0fb9885,https://app.notion.com/3c60b963e60081e58679cf56a0fb9885,2026-08-24 07:12:52Z,E-JOS-WAR5-SANCTUARY,Cross-checked,Primary Text,A,https://penelope.uchicago.edu/josephus/war-5.html,5.210–219,Josephus door/veil dimensions are kept as source-specific variant where they differ from Mishnah.,"Flavius Josephus, Jewish War",Hekhal / veil / Holy Place / Holy of Holies,"Golden vine and gold facing; Babylonian veil with blue/fine linen/scarlet/purple and celestial symbolism; Holy Place contained candlestick, table and incense altar; innermost chamber had nothing in it.",JOSEPHUS_WAR5,"Josephus War 5.210–219 · sanctuary gold, veil, sacred objects, empty inner chamber"
3c60b963-e600-816c-9e07-cfad66463f37,https://app.notion.com/3c60b963e600816c9e07cfad66463f37,2026-08-24 07:22:10Z,E-MISH-MID-4_7-PLAN,Cross-checked,Primary Text,A,https://www.sefaria.org/Mishnah_Middot.4.7,4:7,Forms basis for H0 local coordinate schedule.,Mishnah Middot,Sanctuary / Ulam / Hekhal / Debir,"E-W 100c and N-S 70c decompositions are explicitly enumerated; Ulam extends 15c beyond body on north and south, yielding 100c façade against 70c rear/body.",MID_SANCTUARY_MASTER,Mishnah Middot 4:7 · sanctuary 100×70 plan decomposition
3c60b963-e600-8182-abd1-d79866c98995,https://app.notion.com/3c60b963e6008182abd1d79866c98995,2026-08-24 07:22:10Z,E-MISH-MID-3_6-ULAM-STEPS,Cross-checked,Primary Text,A,https://www.sefaria.org/Mishnah_Middot.3.6,3:6,Preserve tread/landing textual variants; no averaging.,Mishnah Middot,Altar-to-Ulam approach,"22c between altar and Ulam; 12 steps, each half-cubit high; common printed translation gives 1c tread with 3c,3c,4c landings, while textual-witness discussions preserve alternate tread readings.",MID_ULAM_STEPS,Mishnah Middot 3:6 · Ulam approach 22c and 12 steps
3c60b963-e600-818f-9827-ceee4d14d47b,https://app.notion.com/3c60b963e600818f9827ceee4d14d47b,2026-08-24 07:22:10Z,E-MISH-MID-4_1_2-HEKHAL-DOOR,Cross-checked,Primary Text,A,https://www.sefaria.org/Mishnah_Middot.4.1,4:1–2,Door-leaf thickness/hinge hardware still unresolved.,Mishnah Middot,Hekhal doorway / wickets,"Hekhal doorway 20c high ×10c wide with four doors; two small wickets flank great gate, northern used for entry to cell/Hekhal while southern remains unused; R. Judah preserves folding-door/wall-thickness variant.",MID_HEKHAL_DOOR,Mishnah Middot 4:1–2 · Hekhal doorway and wicket circulation
3c60b963-e600-81b4-ab84-f8d906a26881,https://app.notion.com/3c60b963e60081b4ab84f8d906a26881,2026-08-24 07:22:10Z,E-MISH-MID-5_1_2-AZARAH,Cross-checked,Primary Text,A,https://www.sefaria.org/Mishnah_Middot.5.1,5:1–2,Raw Middot does not uniquely allocate the remaining 25c.,Mishnah Middot,Azarah / altar / rings / tables / pillars,Azarah is 187×135c. E-W: 11 Israel +11 Priests +32 altar +22 gap +100 Sanctuary +11 rear. N-S: altar+ramp 62; altar-to-rings 8; rings 24; rings-to-tables 4; tables-to-pillars 4; pillars-to-wall 8; remaining 25 split between south-of-ramp and pillar zone.,MID_AZARAH,Mishnah Middot 5:1–2 · Azarah 187×135 decompositions
3c60b963-e600-81e1-86bd-ed86e836a012,https://app.notion.com/3c60b963e60081e186bded86e836a012,2026-08-24 07:22:10Z,E-MISH-MID-2_5_6-COURTS,Cross-checked,Primary Text,A,https://www.sefaria.org/Mishnah_Middot.2.5,2:5–6,Exact semicircular radii/treads are not individually stated in 2:5.,Mishnah Middot,Court of Women / Nicanor / Israel / Priests,Court of Women 135×135c with four 40c corner chambers; 15 semicircular steps lead toward Court of Israel; Israel and Priests courts each 135×11c; R. Eliezer b. Jacob records 1c step plus three half-cubit steps yielding 2.5c elevation difference.,MID_COURTS,"Mishnah Middot 2:5–6 · Women Court, steps, court levels"
3c60b963-e600-813c-885b-cb46530d9be0,https://app.notion.com/3c60b963e600813c885bcb46530d9be0,2026-08-24 07:22:10Z,E-MISH-MID-4_3_5-CELLS,Cross-checked,Primary Text,A,https://www.sefaria.org/Mishnah_Middot.4.3,4:3–5,Exact E-W bay lengths and every doorway offset are not all numerically specified.,Mishnah Middot,Sanctuary side cells / mesibbah,"38 cells surround Hekhal/Holy of Holies: 15 north, 15 south, 8 west; three-story arrangement; lower/middle/upper width progression 5/6/7 cubits; NE corner cell has five openings and connects to mesibbah/Hekhal route.",MID_CELLS,Mishnah Middot 4:3–5 · sanctuary side cells and mesibbah
3c60b963-e600-81e2-a794-ed96e48b097a,https://app.notion.com/3c60b963e60081e2a794ed96e48b097a,2026-08-24 07:38:06Z,E-PATRICH-1988-CELLS,Cross-checked,Scholarly Reconstruction,B,https://library.biblicalarchaeology.org/article/reconstructing-the-magnificent-temple-herod-built/,Cells / Mesibbah reconstruction sections,"These are explicit scholarly reconstruction assumptions used to fill dimensions absent from Middot, not primary measurements.","Joseph Patrich, Reconstructing the Magnificent Temple Herod Built; drawings by Leen Ritmeyer",Sanctuary cells / mesibbah / upper chamber,Production reconstruction assumes N/S cell run 61c with five 9c cells and 4c dividers; west run 44c with three 12c cells and 4c dividers on lower/middle stories; three 12c clear cell heights with 2c intermediate ceilings; 5c top roof; mesibbah 66c run rising 45c with 0.5c steps and three 7c landings.,CELL-PATRICH-RITMEYER,Patrich 1988 / Ritmeyer drawings · buildable side-cell reconstruction
3c60b963-e600-81e7-b439-fc77638dd42f,https://app.notion.com/3c60b963e60081e7b439fc77638dd42f,2026-08-24 07:38:06Z,E-RAMBAM-CELLS-VARIANT,Cross-checked,Scholarly Reconstruction,C,https://www.chabad.org/library/article_cdo/aid/1007197/jewish/Beit-Habechirah-Chapter-4.htm,"Chapter 4, esp. halakhot 5, 10 and commentary diagrams",Maintained as separate comparison geometry; not merged into production working master.,"Maimonides, Mishneh Torah, Beit HaBechirah 4",Sanctuary side cells,"Rambam interprets the listed wall dimensions as multiple thin nested walls with vacant spaces between them, producing five cells on each N/S side and three on the west by radial wall-space divisions rather than the same lengthwise subdivision used by Rashi/Bartenura/Patrich.",CELL-RAMBAM,Rambam Beit HaBechirah 4 · nested-wall cell interpretation
3c60b963-e600-81ee-972c-c4bc506f69ec,https://app.notion.com/3c60b963e60081ee972cc4bc506f69ec,2026-08-24 07:38:06Z,E-JOS-WAR5-CELLS,Cross-checked,Primary Text,A,https://penelope.uchicago.edu/josephus/war-5.html,5.220–221,Confirms three-story concept but not Middot total count or detailed cell dimensions.,"Flavius Josephus, Jewish War",Sanctuary side chambers,"Around the sides of the lower part of the Temple were numerous small chambers in three communicating stories, approached from either side of the Temple gate; the upper part had no comparable chambers and was narrower.",JOSEPHUS_CELLS,Josephus War 5.220–221 · three-story side chambers
3c60b963-e600-812d-a2b6-ce12d7445dfe,https://app.notion.com/3c60b963e600812da2b6ce12d7445dfe,2026-08-24 07:43:11Z,E-MISH-MID-4_5-UPPER-LULIN,Cross-checked,Primary Text,A,https://www.mishnah.org/learn/middos/4/5/,4:5,Text establishes existence/function/topological route but does not state lulin dimensions or cedar-post cross-section.,Mishnah Middot,Upper Chamber / roof / Holy of Holies maintenance access,Upper Chamber door opened south; two cedar posts in its doorway allowed ascent to the roof; a stone marker distinguished the holy/Holy-of-Holies zones above; openings (lulin) in the upper chamber allowed workmen to be lowered in boxes into the Holy of Holies.,MID_UPPER_CHAMBER,"Middot 4:5 · Upper Chamber door, cedar climbing posts and lulin"
3c60b963-e600-81ae-81d7-d7042b64544a,https://app.notion.com/3c60b963e60081ae81d7d7042b64544a,2026-08-24 07:43:11Z,E-PATRICH-LULIN-BEAMGRID,Cross-checked,Scholarly Reconstruction,B,https://dokumen.pub/the-jerusalem-temple-and-the-temple-mount-collected-essays-3161632699-9783161632693.html,Upper Chamber / lulin reconstruction discussion,"These dimensions are explicit reconstruction assumptions based on maintenance function, not raw Middot measurements.","Joseph Patrich, Jerusalem Temple / Temple Mount reconstruction essays",Upper Chamber / lulin / lower ceiling beam network,"Patrich reconstruction assumes lulin 2c square, 1c from walls and 2c apart; their working zones coordinate with a primary/secondary ceiling-beam network forming 3×3c squares.",UPPER-PATRICH,Patrich upper-chamber lulin / ceiling-beam reconstruction
3c60b963-e600-8183-8b2a-c307dc99acb7,https://app.notion.com/3c60b963e60081838b2ac307dc99acb7,2026-08-24 07:48:59Z,E-NICANOR-CORINTHIAN-CONFLICT,Conflict,Scholarly Reconstruction,B,https://cris.biu.ac.il/en/publications/once-more-on-the-nicanor-gate/,"HUCA 62 (1991), pp.245–284, abstract",Current production master uses rabbinic Nicanor for Women→Israel circulation; Josephus Corinthian gate remains separate.,"J. Schwartz & J. Spanier, Once More on the Nicanor Gate",Nicanor Gate / Corinthian Gate identification,"Rabbinic tradition locates Nicanor at the western exit of the Court of Women, while Josephus places his Corinthian bronze gate at the eastern entrance to that court; therefore automatic identification is historically disputed.",NICANOR-RABBINIC-WEST vs CORINTHIAN-JOSEPHUS-EAST,Schwartz & Spanier 1991 · Nicanor/Corinthian location contradiction
