id,url,createdTime,Scale,Required Content,Sheet ID,QA Criteria,Blocking Issue,Status,Primary Scope,Evidence Grade,Notes,Output,Type,Drawing
3c60b963-e600-8185-b24e-d557413b85d2,https://app.notion.com/3c60b963e6008185b24ed557413b85d2,2026-08-24 06:15:02Z,1:250,"187×135 court, 135×135 women court, all E-W dimension chains, H0",P-01,187c and 100c checksum exact,Nicanor gatehouse and exact Hel/Soreg perimeter,Draft,Azarah + Court of Women + Sanctuary,B,Core Blender blockout reference.,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Plan,Sacred precinct master plan
3c60b963-e600-8199-8219-c4fed8bd5f0a,https://app.notion.com/3c60b963e60081998219c4fed8bd5f0a,2026-08-24 06:15:02Z,1:100,"135 square, four 40c chambers, 15 semicircular steps, balcony epoch variant",P-04,chambers remain 40c; roofless state noted,15-step radii/treads and balcony date/model epoch,Planned,Court of Women,B,,"[""Notion"",""SVG"",""DXF"",""PDF""]",Plan,Court of Women detail
3c60b963-e600-81a9-8bff-d618f660685b,https://app.notion.com/3c60b963e60081a98bffd618f660685b,2026-08-24 06:15:02Z,1:50,plan + section of 32c stepped altar and 50×50×15 Josephus massing,D-01,variant labels and source passages visible,none for textual comparison,Planned,Altar variants,B,,"[""Notion"",""SVG"",""DXF"",""PDF""]",Detail,Altar MID vs Josephus comparison
3c60b963-e600-81af-b806-cbcea83de33e,https://app.notion.com/3c60b963e60081afb806cbcea83de33e,2026-08-24 06:15:02Z,1:250,"bedrock, Herodian fill, retaining wall, pavement, modern DEM comparison",S-04,modern vs ancient surfaces never fused,historical vertical datum and bedrock contours,Researching,Moriah slope / fill / platform,C,,"[""Notion"",""SVG"",""DXF"",""PDF""]",Section,Retaining wall + bedrock conceptual section
3c60b963-e600-81bf-a9a2-fc52be173c8c,https://app.notion.com/3c60b963e60081bfa9a2fc52be173c8c,2026-08-24 06:15:02Z,1:500 / 1:200,"Double/Triple gates, stairs, Royal Stoa silhouette, ancient street/topography",E-04,excavated remains visually distinguished from reconstructed superstructure,survey-grade gate/stair elevations,Researching,South wall,B,,"[""Notion"",""SVG"",""DXF"",""PDF""]",Elevation,Temple Mount south elevation + Huldah approaches
3c60b963-e600-81d6-9ad6-da2d86f2c12c,https://app.notion.com/3c60b963e60081d69ad6da2d86f2c12c,2026-08-24 06:15:02Z,1:100,"ALTAR_MID, ALTAR_JOS overlay, 32×16 ramp, 62c combined span logic, rings/tables/pillars",P-03,MID/JOS variants never merged,ramp exact E-W offset; rings/tables/pillars exact E-W footprints and spacing; drain network remain unresolved; raw Middot still does not independently fix full Y allocation,Draft,Altar precinct,B,v0.2 CORRECTED files generated: Herod_Temple_P03_Altar_Ramp_Slaughter_Plan_v0_2.svg/.dxf/.png + Manifest JSON. Correction: Rambam ramp 32c source length consumes 30c on ground and overlaps 2c northward onto altar foundation/sovev; v0.1 southward extension is superseded. Absolute H0-Y now available only as RAMBAM_AZARAH_Y production variant via P-05; raw Middot constraint remains separate.,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Plan,Altar + ramp + slaughter zone plan
3c60b963-e600-81d8-b4d2-cf5a2066cef0,https://app.notion.com/3c60b963e60081d8b4d2cf5a2066cef0,2026-08-24 06:15:02Z,1:100,"70c body width, cell bands, parapet/roof variants",E-02,vertical total remains 100c,rear façade detail,Planned,Sanctuary rear,B,,"[""SVG"",""DXF"",""PDF""]",Elevation,Sanctuary west elevation
3c60b963-e600-81db-8e0e-c0601bb10108,https://app.notion.com/3c60b963e60081db8e0ec0601bb10108,2026-08-24 06:15:02Z,same as P-01/P-02,"187c chain, 100c E-W, 70c N-S, 135c courts, 100c vertical sum",Q-02,all sums zero-error,none after draft geometry exists,Planned,Master plan + sanctuary,B,,"[""SVG"",""PDF""]",QA Overlay,Dimension checksum overlay
3c60b963-e600-81e6-ac42-c6778140b000,https://app.notion.com/3c60b963e60081e6ac42c6778140b000,2026-08-24 06:15:02Z,1:100,"100c E-W decomposition, 70c N-S body, 100c façade, openings and side-cell bands",P-02,100c E-W / 70c N-S exact,individual side-cell subdivisions and door system,Draft,"Ulam, Hekhal, Traksin, Debir, side cells",B,2026-08-24 drawing master resumed. Generated chat artifacts: Herod_Temple_P02_Sanctuary_Master_v0_2.svg / .dxf. H0=Debir center; X=-27…+73c sanctuary E-W; Y=±35c body; Ulam Y=±50c. Side-cell individual bays remain unresolved.,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Plan,Sanctuary enlarged plan
3c60b963-e600-81f3-ac63-f4df6ed38c7b,https://app.notion.com/3c60b963e60081f3ac63f4df6ed38c7b,2026-08-24 06:15:02Z,1:100,"100c façade width, 100c total height, 20×40 Ulam opening, gold-plating evidence zones",E-01,structural outline independent of decorative hypotheses,exact decorative orders / gold extent,Draft,Sanctuary east front,B,"v0.1 actual files verified/generated: Herod_Temple_E01_Ulam_East_Elevation_v0_1.svg/.dxf/.png. Middot master: façade 100c, portal 20×40c, five ash beams 22/24/26/28/30c. Josephus 25×70c portal remains comparison layer only. Beam Z spacing/thickness is still unresolved and drawn as provisional reconstruction.","[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Elevation,Ulam east façade elevation
3c60b963-e600-8115-9866-eb15df9149a0,https://app.notion.com/3c60b963e60081159866eb15df9149a0,2026-08-24 06:26:55Z,1:500,"arrival nodes, rightward circulation, normal exit flow, portico/open court edges, exception counterflow note",C-03,Middot 2:2 circulation readable without implying painted lane,exact tunnel emergence points,Draft,Outer platform,A,,"[""Notion"",""SVG"",""PDF"",""Blender Ref""]",Plan,Outer court right-hand circulation plan
3c60b963-e600-8124-a689-d9d5043bdb18,https://app.notion.com/3c60b963e6008124a689d9d5043bdb18,2026-08-24 06:26:55Z,1:100,"rockscarp, north portico relationship, Antonia hypothesis, retaining structure",F-04,rock evidence and fortress reconstruction independently graded,Antonia footprint and exact joining levels,Researching,Northwest mount,C,,"[""Notion"",""SVG"",""DXF"",""PDF""]",Section,Northwest rockscarp / Antonia interface section
3c60b963-e600-8135-81ca-d5d19f9b574e,https://app.notion.com/3c60b963e600813581cad5d19f9b574e,2026-08-24 06:26:55Z,1:100,"Israel 11c, Priest 11c, 2.5c elevation variant, altar/ramp, north slaughter system, access classes",C-06,public path stops; priest route continues without geometric collision,vertical variant and shambles detail,Draft,Azarah east/service zone,B,,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Plan,Israel Court → Priests Court → altar service circulation
3c60b963-e600-8146-8c94-f27019df9acb,https://app.notion.com/3c60b963e60081468c94f27019df9acb,2026-08-24 06:26:55Z,1:1000,"South, West, Priest, East Special, Security routes; access boundaries; segment IDs",C-00,every route segment has From/To and no impossible discontinuity,world/site control later,Draft,City → Temple Mount → sacred precinct,B,Master movement diagram.,"[""Notion"",""SVG"",""PDF"",""Blender Ref""]",Plan,Complete pedestrian access network
3c60b963-e600-8146-9a63-fa24496077a2,https://app.notion.com/3c60b963e60081469a63fa24496077a2,2026-08-24 06:26:55Z,1:50 / 1:100,"bedrock contact, foundation courses, visible face, rear masonry/fill, pavement/ancient street relation",F-01,wall physically bears on bedrock/foundation; no floating face mesh,rear-face/foundation-depth continuity,Researching,Western retaining wall,B,,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Section,Western retaining wall foundation section
3c60b963-e600-8164-8004-de4356e56416,https://app.notion.com/3c60b963e60081648004de4356e56416,2026-08-24 06:26:55Z,1:250 / schematic,"pilgrims-road drain, platform drains, southern outlets, altar pit/service drain, cistern/water nodes when evidenced",F-05,documented segments solid; inferred connections dashed/hypothesis,network continuity under inaccessible mount,Researching,Subsurface hydraulic systems,B,,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Plan,Drainage / water / altar service network
3c60b963-e600-818b-8c0e-d8f0a7fecc28,https://app.notion.com/3c60b963e600818b8c0ed8f0a7fecc28,2026-08-24 06:26:55Z,1:100 / 1:250,"masonry phases, core-square relation, bedrock/pavement levels, Shushan axis marker",F-03,older/core hypothesis not mislabeled as whole Herodian enclosure,phase breaks and rear face,Researching,Eastern wall and older core,B,,"[""Notion"",""SVG"",""DXF"",""PDF""]",Section,Eastern wall / 500-cubit core foundation section
3c60b963-e600-819c-8bbf-fc9eaa1617ab,https://app.notion.com/3c60b963e600819c8bbffc9eaa1617ab,2026-08-24 06:26:55Z,1:250,"retaining walls, fill volumes, vaults, gate tunnels, west causeway, drainage voids",F-07,all upper loads trace to support/rock,requires F-00/F-02/F-05 baseline,Planned,Substructure 3D logic,C,Construction-under-the-skin reference.,"[""Notion"",""SVG"",""PNG"",""PDF"",""Blender Ref""]",Detail,Vault/fill/tunnel exploded axonometric
3c60b963-e600-81a2-92b4-dcaf2f706093,https://app.notion.com/3c60b963e60081a292b4dcaf2f706093,2026-08-24 06:26:55Z,route QA,"eye height 1.65–1.75m, head clearance, shoulder/crowd clearance, stair/ramp collision, sightline checkpoints, light-transition zones",C-10,continuous walk from C-S01 through permitted endpoint; zero collision/teleport gaps,requires LOD0 geometry,Planned,All walkable segments,B,Not runtime code yet; architectural QA specification.,"[""Notion"",""PNG"",""PDF"",""Blender Ref""]",QA Overlay,First-person camera / collision / visibility QA
3c60b963-e600-81a7-8b6d-c5a1bfaa7216,https://app.notion.com/3c60b963e60081a78b6dc5a1bfaa7216,2026-08-24 06:26:55Z,1:100,"wall thickness, portals, tunnel voids, Triple-Gate support rooms, fill, stair foundations",F-02,observed vs reconstructed passage clearly distinguished,complete AD30 tunnel continuation,Researching,Southern retaining wall and portals,B,Primary foundation sheet for visitor entry.,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Section,Southern wall + Double/Triple Gate substructure section
3c60b963-e600-81b6-99f0-dd50a05c54f4,https://app.notion.com/3c60b963e60081b699f0dd50a05c54f4,2026-08-24 06:26:55Z,1:500 plan / 1:250 profile,"stepped street, drainage, southern plaza, miqvaot, monumental stairs, portal landing, cumulative distance/elevation",C-01,"walkable grade/steps, drainage and purification zones included",survey-grade profile and platform threshold,Draft,Lower City to Huldah gates,B,Representative visitor entry route.,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Section,South Pilgrim Route plan + longitudinal profile
3c60b963-e600-81b7-92d1-d722247c2546,https://app.notion.com/3c60b963e60081b792d1d722247c2546,2026-08-24 06:26:55Z,1:200,"miqvaot, rock-cut surfaces, stair foundation/supports, Double/Triple Gate landing zones, crowd approach",F-08,excavated remains distinguished from reconstruction,full published survey extraction,Researching,South approach,A,,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Plan,Southern miqveh plaza + monumental stair foundation plan
3c60b963-e600-81c9-a1b7-d1bcf47c1634,https://app.notion.com/3c60b963e60081c9a1b7d1bcf47c1634,2026-08-24 06:26:55Z,1:250 / 1:500,"Public Outer, Jewish Clean, Women/Court, Israel Male, Priest Only, Sanctuary Priest, High Priest, Special Ritual",C-09,no first-person route crosses a boundary without access-class change,some boundary interpretations require source review,Draft,All courts and sanctuary,B,,"[""Notion"",""SVG"",""PNG"",""PDF""]",QA Overlay,Access-control / purity / role boundary overlay
3c60b963-e600-81d6-ae9f-ec1eb880becf,https://app.notion.com/3c60b963e60081d6ae9fec1eb880becf,2026-08-24 06:26:55Z,1:50 / 1:100,"portal threshold, wall thickness, vault, internal ascent/turn, light transitions, observed vs reconstructed continuation",C-02,1.75m eye-level clearance and collision-free path; no invented straight tunnel,exact AD30 termination/emergence,Researching,Southern gate wall passage,B,Critical for first-person entry.,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Section,Huldah portal + tunnel longitudinal section
3c60b963-e600-81df-9818-d90b95c20333,https://app.notion.com/3c60b963e60081df9818d90b95c20333,2026-08-24 06:26:55Z,1:500,"natural bedrock, Herodian cuts, fill zones, inaccessible/unknown volumes, confidence hatching",F-00,modern DEM never substitutes for ancient bedrock,continuous bedrock survey surface,Researching,Temple Mount subgrade,C,Precedes all foundation drawing.,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Terrain/Geo,Original bedrock / cut / fill master plan
3c60b963-e600-8109-ad46-faa989870572,https://app.notion.com/3c60b963e6008109ad46faa989870572,2026-08-24 06:26:55Z,1:100,"22c altar-Ulam gap, 12 steps, Ulam 20×40 opening, Hekhal 10×20 opening, Debir restriction",C-07,route access-class changes clearly marked,Porch step tread interpretation and door details,Draft,Inner priest route,B,,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Section,Altar → Ulam → Hekhal service route
3c60b963-e600-8115-addf-dfcbb2412375,https://app.notion.com/3c60b963e6008115addfdfcbb2412375,2026-08-24 06:26:55Z,1:500,"Wilson causeway/bridge archaeology, western portal candidates, Kiponus textual mapping variants",C-08,no automatic identification; phases separated,text-gate ↔ archaeological-portal identity mapping,Researching,Upper City to western Temple Mount,B,,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Plan,Western city / causeway access alternatives
3c60b963-e600-8119-8df3-cf546bbf9669,https://app.notion.com/3c60b963e60081198df3cf546bbf9669,2026-08-24 06:26:55Z,datum schedule,"Herodian pavement, gate thresholds, court levels, street levels, modern comparison, uncertainty range",F-06,every staircase begins/ends on named datum; modern elevation marked reference-only,historical platform-wide vertical datum,Researching,All finished floor levels,C,Required before vertical freeze.,"[""Notion"",""PDF"",""Blender Ref""]",Detail,Historical FFL / threshold / pavement datum schedule
3c60b963-e600-8187-8880-fcc42ee3fe17,https://app.notion.com/3c60b963e60081878880fcc42ee3fe17,2026-08-24 06:26:55Z,1:50,"Soreg 10 handbreadths, Hel 10c, 12×0.5c rise/tread, access boundary, landing",C-04,known dimensions exact; fence/gap plan uncertainty marked,exact Soreg perimeter/opening placement,Draft,Outer-to-inner sacred boundary,B,,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Section,Soreg → Hel → 12 steps transition
3c60b963-e600-81dc-b211-e0e3bc18a98b,https://app.notion.com/3c60b963e60081dcb211e0e3bc18a98b,2026-08-24 06:26:55Z,1:50 / 1:100,"135c court datum, 15 semicircular steps, Levite zone, Nicanor threshold/opening, side chambers",C-05,15 risers and access transition explicit,semicircular plan radii and Nicanor gatehouse depth/wicket dimensions remain unresolved; longitudinal rise/tread profile is now source-derived.,Draft,Court of Women to Court of Israel,A,v0.1 interface files generated: Herod_Temple_S-NIC-01_Nicanor_15Step_Interface_v0_1.svg/.dxf. 15×0.5c rise/tread → 7.5c rise/run; central Nicanor opening uses 10×20c general gate class. Gatehouse depth intentionally uncommitted.,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Section,Women Court → semicircular steps → Nicanor section
3c60b963-e600-8115-954b-c39536b884be,https://app.notion.com/3c60b963e6008115954bc39536b884be,2026-08-24 07:10:26Z,1:1 / magnified,"four fiber/color components, 72/24 yarn architecture interpretation, warp/weft model, real thickness",TEX-01,not treated as flat bitmap; thread-count claim matches source wording/interpretation,exact weave technique/thread diameter/loom setup,Researching,Curtain textile construction,A,,"[""Notion"",""SVG"",""PDF"",""PNG"",""Blender Ref""]",Detail,Parokhet weave master
3c60b963-e600-8118-8700-cebea49ee9f7,https://app.notion.com/3c60b963e60081188700cebea49ee9f7,2026-08-24 07:10:26Z,1:20,"24 rings variants, 8 pillars, 3 hook rows, table rows, altar offsets from Middot 5:1",D-SVC-01,counts exact; north-of-altar service workflow coherent,individual object dimensions,Researching,"Rings, pillars, cedar blocks, hooks, marble tables",A,,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Plan,Slaughter-service system master grid
3c60b963-e600-8127-81e4-dd6a4e23b12e,https://app.notion.com/3c60b963e600812781e4dd6a4e23b12e,2026-08-24 07:10:26Z,material sheet,"base substrate, whitewash, red line, clean/daily/active/cleanup state masks, PBR guidance",D-ALT-04,temporary blood/ash/soot removable from base architecture; no modern plaster/paint look,exact pigment chemistry / lime composition,Draft,whole stone + lime + red line + transient states,A,,"[""Notion"",""PNG"",""PDF"",""Blender Ref""]",QA Overlay,Altar material + ritual surface-state sheet
3c60b963-e600-8138-8efb-f84f82992e89,https://app.notion.com/3c60b963e60081388efbf84f82992e89,2026-08-24 07:10:26Z,1:5,"R Judah/R Meir plan variants, table body, supports, rods, bread stacks, frankincense dishes",D-SHB-01,28 rods=14 per stack; 12 loaves; dimensional variants never averaged,table height/leg profile,Researching,Golden table + four supports + 28 rods,A,,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Detail,Showbread Table complete assembly
3c60b963-e600-8166-98ce-da51e1945b99,https://app.notion.com/3c60b963e600816698ceda51e1945b99,2026-08-24 07:10:26Z,1:1 / artifact scale,"fragment IDs, scan/plate traces, dimensions, relief depth, original-location confidence",ORN-02,artifact-local motifs never generalized without placement evidence,scan/plate digitization and spatial attribution,Researching,"Double Gate cupola, rosettes, geometric panels, Corinthian/acanthus, mouldings/coffers",B,Feeds Royal Stoa and gate decoration assets.,"[""Notion"",""SVG"",""PDF"",""PNG"",""Blender Ref""]",Detail,Herodian ornament fragment / profile atlas
3c60b963-e600-8169-9572-ee36ed3c79e3,https://app.notion.com/3c60b963e60081699572ee36ed3c79e3,2026-08-24 07:10:26Z,1:1 / 1:2,"branch cross-section, junction, lamp cup/socket, base moulding, tool/metal surface",D-MEN-02,profile source tagged per element; no unsupported biblical motif imported silently,3D relief digitization + profile interpretation,Planned,Menorah hero profiles,B,,"[""Notion"",""SVG"",""PDF"",""Blender Ref""]",Detail,Menorah branch / lamp / base profile details
3c60b963-e600-817d-b395-c31fee58b385,https://app.notion.com/3c60b963e600817db395c31fee58b385,2026-08-24 07:10:26Z,1:5 / 1:10,"SW openings/pits, drain path variants, waterproof/stone interface",D-ALT-03,real boolean void; not conflated with storm drain,full hydraulic route/section,Researching,Altar drainage/service voids,A,,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Detail,Altar drain / SW service openings
3c60b963-e600-817e-a604-d6165f070941,https://app.notion.com/3c60b963e600817ea604d6165f070941,2026-08-24 07:10:26Z,1:5 / asset atlas,"branch scaffold, leaf, grape, cluster modules, donor-added attachment logic, human-scale cluster variant",ORN-01,non-periodic; actual supports/attachments; no inferred weight from 300-priest tradition,exact spread/profile/attachment hardware,Researching,Hekhal golden vine,A,,"[""Notion"",""SVG"",""PDF"",""PNG"",""Blender Ref""]",Detail,Golden vine asset + attachment study
3c60b963-e600-8181-a28d-d25797307d22,https://app.notion.com/3c60b963e6008181a28dd25797307d22,2026-08-24 07:10:26Z,1:10 / 1:20,"Foundation Stone plan/section, 3-fingerbreadth projection, double-parokhet relationship, Yom Kippur path, Ark exclusion overlay",D-HOH-01,Ark master visibility=OFF; rock connected to bedrock; uncertainties bounded,stone plan outline and archaeological-geospatial correlation,Researching,Holy of Holies standing-state,A,,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Plan,Debir / Foundation Stone / empty Holy of Holies
3c60b963-e600-8184-ac70-e1180efb557d,https://app.notion.com/3c60b963e6008184ac70e1180efb557d,2026-08-24 07:10:26Z,1:5,"placement, construction variants, horns/top/coals, gold cladding/solid interpretation layers",D-INC-01,presence evidence separated from typological exact dimensions,Second-Temple exact profile and dimensions,Researching,Holy Place incense altar,A,,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Detail,Golden incense altar detail
3c60b963-e600-8186-bc73-f03149286a27,https://app.notion.com/3c60b963e6008186bc73f03149286a27,2026-08-24 07:10:26Z,1:2,"10×5 handbreadth loaf, fold variants, half-hollow rods, vertical supports, clearance",D-SHB-02,bread geometry coupled to correct table variant,bread thickness/form interpretation,Researching,Loaf/table interface,A,,"[""Notion"",""SVG"",""PDF"",""Blender Ref""]",Section,Showbread loaf fold + support-rod section
3c60b963-e600-81c8-8bca-f2a794b033d9,https://app.notion.com/3c60b963e60081c88bcaf2a794b033d9,2026-08-24 07:10:26Z,magnified / 1:1,"linen/wool yarn bundles, handbreadth thickness working conversion, edge/seam variants",TEX-02,implementation fiber size explicitly nonhistorical where unsourced,"thread diameter, seam/selvedge construction",Researching,Fiber/yarn/thickness/selvedge,A,,"[""Notion"",""SVG"",""PDF"",""PNG"",""Blender Ref""]",Section,Parokhet yarn + edge cross-section
3c60b963-e600-81ce-85f7-fe0fb617bfc0,https://app.notion.com/3c60b963e60081ce85f7fe0fb617bfc0,2026-08-24 07:10:26Z,1:10 / 1:20,"outer south opening, inner north opening, 1c interspace, ceiling support/hanging, drape envelope, priest path",TEX-03,zero-gap walk route; openings are actual topology,hanging hardware/curtain extents,Researching,Two curtains 1c apart,A,,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Section,Double-parokhet hanging + Yom Kippur passage section
3c60b963-e600-81d4-b062-e7f434341f06,https://app.notion.com/3c60b963e60081d4b062e7f434341f06,2026-08-24 07:10:26Z,1:10,"four-door/folding variants, jambs, leaves, wall thickness, gold overlay, northern wicket path",D-DOOR-01,Middot variants preserved; door motion physically possible,leaf thickness/hinge/hardware/profile,Researching,Hekhal 20c×10c gate system,A,,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Detail,Hekhal doorway / gold doors / wall-thickness detail
3c60b963-e600-81d6-92fe-e2a19b0fe95a,https://app.notion.com/3c60b963e60081d692fee2a19b0fe95a,2026-08-24 07:10:26Z,1:5 / 1:10,"horns, surround, walkway, fire-area boundary, whole-stone construction",D-ALT-02,no iron-hewn ashlar appearance; correct layer dimensions,horn exact profile/upper build sequence details,Researching,Outer altar upper architecture,A,,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Detail,Altar horn / sovev / walkway construction detail
3c60b963-e600-81f2-9d8f-c79021e2f8c9,https://app.notion.com/3c60b963e60081f29d8fc79021e2f8c9,2026-08-24 07:10:26Z,1:20,"foundation, sovev, upper zone, horn zone, priest walkway, fire area, southern ramp",D-ALT-01,dimensional checksum zero error,total-height interpretation and upper detail reconciliation,Draft,32→30→28→26→24c altar profile,A,Core horizontal geometry is strong.,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Section,Middot altar stepped geometry master
